"Gene","Module"
"ANKRD12",1
"ANKRD13A",13
"ANKRD13B",8
"ANKRD13C",0
"ANKRD13D",2
"ANKRD16",0
"ANKRD17",2
"ANKRD18A",0
"ANKRD18B",1
"ANKRD18EP",0
"ANKRD19P",0
"ANKRD20A1",0
"ANKRD20A4P",1
"ANKRD20A5P",1
"ANKRD20A7P",1
"ANKRD22",0
"ANKRD23",0
"ANKRD24",1
"ANKRD26",0
"ANKRD26P1",0
"ANKRD27",2
"ANKRD28",6
"ANKRD29",24
"ANKRD30B",1
"ANKRD30BP3",0
"ANKRD31",1
"ANKRD33",6
"ANKRD33B",0
"ANKRD34A",0
"ANKRD35",1
"ANKRD36",0
"ANKRD36B",0
"ANKRD36C",1
"ANKRD37",1
"ANKRD39",0
"ANKRD40",3
"ANKRD40CL",1
"ANKRD42",1
"ANKRD44",0
"ANKRD44-IT1",9
"ANKRD46",3
"ANKRD49",0
"ANKRD49P1",3
"ANKRD50",0
"ANKRD52",0
"ANKRD53",1
"ANKRD54",0
"ANKRD55",0
"ANKRD6",0
"ANKRD61",0
"ANKRD62",1
"ANKRD7",1
"ANKRD9",2
"ANKS1A",7
"ANKS1B",5
"ANKS3",2
"ANKS4B",1
"ANKS6",3
"ANKUB1",1
"ANKZF1",0
"ANLN",1
"ANO1",0
"ANO10",0
"ANO2",1
"ANO3",5
"ANO3-AS1",1
"ANO4",1
"ANO5",4
"ANO6",3
"ANO7",1
"ANO7L1",0
"ANO8",0
"ANO9",1
"ANOS1",14
"ANOS2P",0
"ANP32A",3
"ANP32B",0
"ANP32E",0
"ANPEP",0
"ANTKMT",2
"ANTXR1",0
"ANTXR2",0
"ANXA1",1
"ANXA10",1
"ANXA11",3
"ANXA2",0
"ANXA2P2",0
"ANXA2R",0
"ANXA3",8
"ANXA4",3
"ANXA5",0
"ANXA6",2
"ANXA7",0
"ANXA9",0
"AOAH",1
"AOC2",1
"AOC3",1
"AOC4P",1
"AOPEP",0
"AOX1",0
"AOX2P",1
"AOX3P",1
"AP000223.42",1
"AP000223.43",1
"AP000240.9",0
"AP000253.1",6
"AP000254.8",1
"AP000318.2",1
"AP000331.1",10
"AP000347.2",0
"AP000350.5",15
"AP000350.6",4
"AP000437.3",0
"AP000438.2",1
"AP000445.1",1
"AP000487.5",0
"AP000560.3",0
"AP000593.5",1
"AP000593.7",1
"AP000640.10",1
"AP000648.4",1
"AP000648.5",1
"AP000648.6",1
"AP000654.4",0
"AP000692.10",0
"AP000692.9",0
"AP000695.4",5
"AP000695.6",5
"AP000704.5",1
"AP000708.1",1
"AP000925.2",1
"AP000962.1",1
"AP000962.4",0
"AP000998.2",4
"AP001062.7",0
"AP001172.2",1
"AP001189.4",0
"AP001350.4",0
"AP001372.2",0
"AP001432.14",0
"AP001436.1",1
"AP001437.2",1
"AP001439.2",6
"AP001442.2",1
"AP001469.5",1
"AP001469.9",0
"AP001505.10",1
"AP001596.6",1
"AP002954.3",0
"AP002954.4",1
"AP003068.23",0
"AP004782.1",0
"AP006621.5",0
"AP1AR",1
"AP1B1",2
"AP1G1",1
"AP1G2",0
"AP1M1",2
"AP1S1",3
"AP1S2",1
"AP1S3",0
"AP2A1",2
"AP2A2",0
"AP2B1",3
"AP2M1",3
"AP2S1",2
"AP3B1",3
"AP3B2",1
"AP3D1",0
"AP3M1",3
"AP3M2",0
"AP3S1",2
"AP3S2",1
"AP4B1",0
"AP4B1-AS1",0
"AP4E1",2
"AP4M1",0
"AP4S1",0
"AP5B1",21
"AP5M1",3
"AP5S1",1
"AP5Z1",3
"APAF1",2
"APBA1",0
"APBA2",0
"APBA3",2
"APBB1",37
"APBB2",0
"APBB3",1
"APC",3
"APC2",1
"APCDD1",7
"APCDD1L",0
"APCDD1L-DT",1
"APEH",3
"APEX1",3
"APEX2",3
"APH1A",2
"APH1B",1
"API5",2
"APIP",0
"APLF",1
"APLN",0
"APLNR",0
"APLP1",4
"APLP2",0
"APMAP",2
"APOA1",1
"APOA1-AS",1
"APOB",24
"APOBEC2",0
"APOBEC3C",0
"APOBEC3D",0
"APOBEC3F",4
"APOBEC3G",4
"APOD",0
"APOE",1
"APOF",1
"APOL1",0
"APOL2",4
"APOL3",4
"APOL4",1
"APOL6",4
"APOLD1",1
"APOM",1
"APOO",3
"APOOL",3
"APP",0
"APPBP2",4
"APP-DT",1
"APPL1",3
"APPL2",1
"APRT",2
"APTR",0
"APTX",0
"AQP1",1
"AQP10",1
"AQP11",0
"AQP3",1
"AQP5",1
"AQP6",1
"AQP7",1
"AQP7P1",0
"AQP9",18
"AQR",0
"AR",0
"ARAF",0
"ARAP1",0
"ARAP1-AS2",0
"ARAP2",4
"ARAP3",11
"ARC",1
"ARCN1",3
"AREG",1
"AREL1",0
"ARF1",0
"ARF1P2",1
"ARF3",1
"ARF4",0
"ARF4-AS1",1
"ARF5",0
"ARF6",0
"ARFGAP1",2
"ARFGAP2",0
"ARFGAP3",0
"ARFGEF1",0
"ARFGEF1-DT",1
"ARFGEF2",0
"ARFGEF3",0
"ARFIP1",0
"ARFIP2",1
"ARFRP1",2
"ARG1",0
"ARG2",2
"ARGLU1",0
"ARHGAP1",1
"ARHGAP10",0
"ARHGAP11A",1
"ARHGAP11B",1
"ARHGAP12",0
"ARHGAP17",1
"ARHGAP18",3
"ARHGAP19",1
"ARHGAP19-SLIT1",1
"ARHGAP20",7
"ARHGAP21",0
"ARHGAP22",2
"ARHGAP23",0
"ARHGAP24",3
"ARHGAP25",5
"ARHGAP26",0
"ARHGAP27",1
"ARHGAP27P1-BPTFP1-KPNA2P3",0
"ARHGAP28",9
"ARHGAP29",3
"ARHGAP29-AS1",1
"ARHGAP30",0
"ARHGAP31",0
"ARHGAP31-AS1",1
"ARHGAP32",5
"ARHGAP33",1
"ARHGAP35",5
"ARHGAP39",1
"ARHGAP4",1
"ARHGAP42",0
"ARHGAP44",5
"ARHGAP45",2
"ARHGAP5",1
"ARHGAP5-AS1",0
"ARHGAP6",4
"ARHGAP9",1
"ARHGDIA",2
"ARHGDIB",3
"ARHGDIG",0
"ARHGEF1",2
"ARHGEF10",1
"ARHGEF10L",0
"ARHGEF11",1
"ARHGEF12",17
"ARHGEF15",11
"ARHGEF16",1
"ARHGEF17",2
"ARHGEF18",2
"ARHGEF19",2
"ARHGEF2",25
"ARHGEF25",0
"ARHGEF26",1
"ARHGEF26-AS1",1
"ARHGEF28",8
"ARHGEF2-AS1",1
"ARHGEF2-AS2",1
"ARHGEF3",7
"ARHGEF33",1
"ARHGEF34P",0
"ARHGEF35-AS1",0
"ARHGEF37",0
"ARHGEF38",1
"ARHGEF39",1
"ARHGEF4",1
"ARHGEF40",0
"ARHGEF5",0
"ARHGEF6",3
"ARHGEF7",0
"ARHGEF9",14
"ARID1A",0
"ARID1B",0
"ARID2",34
"ARID3A",0
"ARID3B",1
"ARID4A",1
"ARID4B",1
"ARID5A",1
"ARID5B",1
"ARIH1",1
"ARIH2",0
"ARIH2OS",1
"ARL1",1
"ARL10",0
"ARL13B",4
"ARL14",1
"ARL14EP",0
"ARL14EPL",1
"ARL15",34
"ARL16",0
"ARL17A",0
"ARL17B",0
"ARL2",2
"ARL2BP",2
"ARL2-SNX15",5
"ARL3",3
"ARL4A",0
"ARL4AP4",15
"ARL4AP5",0
"ARL4C",0
"ARL4D",1
"ARL5A",2
"ARL5B",4
"ARL6",2
"ARL6IP1",1
"ARL6IP4",0
"ARL6IP5",20
"ARL6IP6",0
"ARL8A",1
"ARL8B",0
"ARL9",1
"ARLNC1",5
"ARMC1",2
"ARMC10",2
"ARMC12",1
"ARMC2",0
"ARMC5",27
"ARMC6",2
"ARMC7",0
"ARMC8",3
"ARMC9",3
"ARMCX1",1
"ARMCX2",0
"ARMCX3",0
"ARMCX4",1
"ARMCX5",0
"ARMCX5-GPRASP2",2
"ARMCX6",3
"ARMH3",0
"ARMH4",1
"ARMT1",2
"ARNT",4
"ARNT2",4
"ARNTL",1
"ARNTL2",2
"ARNTL2-AS1",0
"ARPC1A",2
"ARPC1B",0
"ARPC2",1
"ARPC3",3
"ARPC4",0
